 ;SB5,0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;0
06:00;0
06:15;0,014
06:30;0,024
06:45;0,071
07:00;0,134
07:15;0,174
07:30;0,192
07:45;0,195
08:00;0,201
08:15;0,236
08:30;0,257
08:45;0,355
09:00;0,578
09:15;0,621
09:30;0,757
09:45;1.059
10:00;1.303
10:15;1.559
10:30;1.540
10:45;1.445
11:00;2.105
11:15;2.404
11:30;2.504
11:45;2.588
12:00;2.765
12:15;2.976
12:30;3.025
12:45;3.189
13:00;3.234
13:15;3.355
13:30;3.289
13:45;3.256
14:00;3.588
14:15;3.089
14:30;3.759
14:45;2.922
15:00;3.903
15:15;3.880
15:30;3.369
15:45;3.769
16:00;3.520
16:15;3.465
16:30;3.377
16:45;3.139
17:00;2.212
17:15;3.358
17:30;3.420
17:45;3.196
18:00;2.851
18:15;2.849
18:30;2.554
18:45;2.250
19:00;2.052
19:15;1.905
19:30;1.701
19:45;1.478
20:00;1.218
20:15;1.027
20:30;0,804
20:45;0,583
21:00;0,349
21:15;0,229
21:30;0,115
21:45;0,037
22:00;0,007
22:15;0
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
