 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0
06:15;0,001
06:30;0,053
06:45;0,106
07:00;0,216
07:15;0,334
07:30;0,238
07:45;0,25
08:00;0,239
08:15;0,391
08:30;0,514
08:45;0,681
09:00;0,743
09:15;0,695
09:30;0,633
09:45;0,752
10:00;0,812
10:15;1.061
10:30;1.301
10:45;1.281
11:00;1.228
11:15;1.956
11:30;2.207
11:45;1.220
12:00;1.271
12:15;1.429
12:30;1.225
12:45;1.410
13:00;2.099
13:15;2.623
13:30;2.353
13:45;2.776
14:00;3.405
14:15;2.725
14:30;2.663
14:45;2.010
15:00;1.296
15:15;1.432
15:30;1.372
15:45;1.610
16:00;1.705
16:15;1.556
16:30;1.534
16:45;0,713
17:00;1.077
17:15;0,96
17:30;0,928
17:45;0,913
18:00;1.378
18:15;1.159
18:30;0,776
18:45;0,632
19:00;0,565
19:15;0,427
19:30;0,256
19:45;0,161
20:00;0,229
20:15;0,26
20:30;0,163
20:45;0,042
21:00;0,021
21:15;0,011
21:30;0,003
21:45;0
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
