 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;0,000;
8:00;0,016;
8:15;0,048;
8:30;0,088;
8:45;0,142;
9:00;0,272;
9:15;0,421;
9:30;0,653;
9:45;0,897;
10:00;1,203;
10:15;1,418;
10:30;1,679;
10:45;1,926;
11:00;2,210;
11:15;2,411;
11:30;2,614;
11:45;2,820;
12:00;3,100;
12:15;3,212;
12:30;3,374;
12:45;3,474;
13:00;3,541;
13:15;3,447;
13:30;3,695;
13:45;3,702;
14:00;3,698;
14:15;3,655;
14:30;3,592;
14:45;3,458;
15:00;3,476;
15:15;3,373;
15:30;3,265;
15:45;3,126;
16:00;2,917;
16:15;2,566;
16:30;2,132;
16:45;1,794;
17:00;1,447;
17:15;1,232;
17:30;0,985;
17:45;0,726;
18:00;0,138;
18:15;0,052;
18:30;0,004;
18:45;0,000;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
